source,target
1508444101171421,1508444101171250
1508444101171249,1508444101171250
1508444101171345,1508444101171250
1508444101171303,1508444101171250
1508444101171508,1508444101171250
1508444101171386,1508444101171250
1508444101171421,1508444101171252
1508444101171249,1508444101171252
1508444101171421,1508444101171251
1508444101171249,1508444101171251
1508444101171345,1508444101171251
1508444101171303,1508444101171251
1508444101171508,1508444101171251
1508444101171386,1508444101171251
1508444101171345,1508444101171252
1508444101171303,1508444101171252
1508444101171508,1508444101171252
1508444101171386,1508444101171252